,Unique_Game_ID,Year,Round,game_id,Home_Team,Home_Score,Away_Team,Away_Score,player_name,Team,Kicks,Handballs,Disposals,Contested_Possessions,Uncontested_Possessions,Disposal_Efficiency,Clangers,Marks,Contested_Marks,Marks_Inside_50,Hit_Outs,Clearances,Centre_clearances,Stoppages,Rebound_50,Frees_For,Frees_Against,Tackles,One_Percenters,Bounces,Inside_50s,Goals,Behinds,Goal_Assists,Goal_Percentage,Time_On_Ground_Percentage,AFL_Fantasy_Points,Champion_Data_Rating,Tackles_50,Metres_Gained,Score_Involvements,Predicted_Votes,prediction0,prediction1,prediction2,prediction3
16,1387,2019,1,1,CARL,64,RICH,97,Jacob Weitering,CARL,13,4,17,8,7,88.2,3,7,3,0,0,0,0,0,3,0,2,2,6,0,1,0,0,0,0,98,70,14.3,0,302,2,0.0,0.9999999357241004,1.169294134889161e-10,6.41579516893192e-08,1.018487419762755e-12
17,1387,2019,1,1,CARL,64,RICH,97,Kade Simpson,CARL,15,12,27,5,19,77.8,1,6,0,0,0,2,1,1,5,1,0,1,1,0,1,0,0,0,0,84,92,8.9,0,462,2,0.0,0.993555382509736,0.005626399180836223,0.0007374595843512759,8.075872507622317e-05
18,1387,2019,1,1,CARL,64,RICH,97,Mitch McGovern,CARL,8,3,11,5,8,63.6,3,5,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,50,75,53,3.9,0,230,5,0.0,0.9999754676890373,2.4530859413335335e-05,1.4510281304928001e-09,5.211032969332369e-13
19,1387,2019,1,1,CARL,64,RICH,97,Will Setterfield,CARL,14,10,24,8,16,50.0,3,2,0,1,0,3,1,2,1,1,1,1,3,0,3,0,1,2,0,66,71,4.1,0,332,4,0.0,0.9968658477397331,0.0031097115969812407,2.157587536987237e-05,2.864787915705584e-06
20,1387,2019,1,1,CARL,64,RICH,97,Harry McKay,CARL,7,4,11,9,4,81.8,2,6,4,3,3,1,1,0,0,1,1,4,4,0,0,2,1,0,67,83,77,12.9,1,147,7,0.0,0.9997927388836161,0.00016481983381264395,4.142609347862979e-05,1.0151890928127953e-06
21,1387,2019,1,1,CARL,64,RICH,97,Charlie Curnow,CARL,10,2,12,6,5,50.0,4,1,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,50,94,41,6.7,0,194,4,0.0,0.9999999999849669,3.310096295860721e-16,1.5032855339456472e-11,2.470931270172474e-19
22,1387,2019,1,1,CARL,64,RICH,97,Noah Balta,RICH,5,0,5,2,4,80.0,5,2,0,0,6,1,1,0,0,1,3,1,2,0,3,1,0,0,50,52,29,5.1,0,223,2,0.0,0.9999857513533904,1.4122107662605495e-05,1.2551603195750987e-07,1.0229151946617553e-09
23,1387,2019,1,1,CARL,64,RICH,97,Trent Cotchin,RICH,20,11,31,14,14,51.6,5,6,1,1,0,6,1,5,0,2,4,4,2,1,6,0,1,0,0,80,107,12.5,0,548,8,0.0,0.4296026224996215,0.18181261095295345,0.2658433477083417,0.12274141883908327
24,1387,2019,1,1,CARL,64,RICH,97,David Astbury,RICH,5,4,9,4,4,77.8,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,92,26,7.5,0,175,4,0.0,0.9997869874290788,0.0001728583519843846,9.784786802236328e-20,4.015421893689843e-05
25,1387,2019,1,1,CARL,64,RICH,97,Nathan Broad,RICH,4,4,8,3,5,75.0,2,1,0,0,0,0,0,0,2,1,0,2,6,2,0,0,0,0,0,80,32,6.1,0,187,0,0.0,0.9995095987667029,0.00035821655640421487,1.3184941256753709e-12,0.00013218467557436146
